,availability,location,size,total_sqft,bath,price
79,1,7th Phase JP Nagar,2,825.5,2.0,83.0
80,0,7th Phase JP Nagar,4,1626.95,4.0,188.0
81,1,7th Phase JP Nagar,3,1023.75,2.0,110.0
82,1,7th Phase JP Nagar,3,1202.5,3.0,140.0
83,1,7th Phase JP Nagar,3,1102.5,2.0,120.0
84,1,7th Phase JP Nagar,3,1202.5,3.0,150.0
85,1,7th Phase JP Nagar,3,1092.0,3.0,120.0
86,1,7th Phase JP Nagar,2,763.75,2.0,82.5
89,1,7th Phase JP Nagar,2,789.75,2.0,90.0
90,1,7th Phase JP Nagar,2,682.5,2.0,75.0
91,1,7th Phase JP Nagar,2,734.5,2.0,73.0
92,1,7th Phase JP Nagar,3,942.5,3.0,100.0
93,1,7th Phase JP Nagar,2,682.5,2.0,50.0
94,1,7th Phase JP Nagar,2,828.75,2.0,87.0
96,1,7th Phase JP Nagar,3,1072.5,3.0,110.0
97,1,7th Phase JP Nagar,3,1176.0,3.0,117.0
98,1,7th Phase JP Nagar,3,1202.5,3.0,150.0
99,1,7th Phase JP Nagar,2,803.4,2.0,61.33
100,1,7th Phase JP Nagar,2,650.0,2.0,53.0
101,1,7th Phase JP Nagar,3,1092.0,3.0,125.0
102,1,7th Phase JP Nagar,3,1088.75,2.0,135.0
103,0,7th Phase JP Nagar,2,771.5500000000001,2.0,59.0
104,1,7th Phase JP Nagar,3,1202.5,3.0,155.0
105,1,7th Phase JP Nagar,2,700.0,2.0,61.0
106,1,7th Phase JP Nagar,3,949.0,2.0,100.0
107,1,7th Phase JP Nagar,3,1072.5,3.0,110.0
108,1,7th Phase JP Nagar,2,780.0,2.0,62.5
109,1,7th Phase JP Nagar,2,650.0,2.0,70.65
110,1,7th Phase JP Nagar,2,702.0,2.0,75.0
112,1,7th Phase JP Nagar,3,1092.0,3.0,125.0
113,1,7th Phase JP Nagar,3,949.0,2.0,97.0
114,1,7th Phase JP Nagar,2,784.0,2.0,65.0
115,1,7th Phase JP Nagar,2,715.0,3.0,60.0
116,1,7th Phase JP Nagar,3,1163.5,3.0,120.0
117,1,7th Phase JP Nagar,3,1092.0,3.0,117.0
118,1,7th Phase JP Nagar,2,682.5,2.0,77.0
119,1,7th Phase JP Nagar,2,682.5,2.0,75.0
120,1,7th Phase JP Nagar,2,676.0,2.0,75.0
121,1,7th Phase JP Nagar,3,910.0,2.0,95.0
122,1,7th Phase JP Nagar,3,1170.0,3.0,130.0
123,1,7th Phase JP Nagar,2,682.5,2.0,68.0
124,1,7th Phase JP Nagar,2,700.0,2.0,60.0
125,1,7th Phase JP Nagar,3,1092.0,3.0,125.0
126,1,7th Phase JP Nagar,2,682.5,2.0,77.47
127,1,7th Phase JP Nagar,2,825.5,2.0,80.0
128,1,7th Phase JP Nagar,3,1092.0,3.0,122.0
129,1,7th Phase JP Nagar,2,734.5,2.0,85.0
130,1,7th Phase JP Nagar,3,1092.0,3.0,130.0
132,1,7th Phase JP Nagar,2,686.0,2.0,77.44
133,1,7th Phase JP Nagar,3,1092.0,3.0,112.0
135,1,7th Phase JP Nagar,3,1361.75,3.0,150.0
136,0,7th Phase JP Nagar,3,1284.4,3.0,145.0
137,1,7th Phase JP Nagar,3,1040.0,2.0,110.0
138,1,7th Phase JP Nagar,3,1147.25,3.0,118.0
139,1,7th Phase JP Nagar,3,942.5,2.0,102.0
140,1,7th Phase JP Nagar,3,1023.75,2.0,110.0
141,1,7th Phase JP Nagar,1,487.5,1.0,47.0
142,1,7th Phase JP Nagar,2,643.5,2.0,50.0
143,1,7th Phase JP Nagar,1,600.0,1.0,60.0
145,1,7th Phase JP Nagar,3,929.5,2.0,102.0
146,1,7th Phase JP Nagar,2,733.2,2.0,60.0
147,1,7th Phase JP Nagar,2,798.0,2.0,57.0
148,1,7th Phase JP Nagar,3,923.0,3.0,90.0
149,1,7th Phase JP Nagar,2,994.5,2.0,108.0
150,0,8th Phase JP Nagar,2,697.775,2.0,54.005
151,1,8th Phase JP Nagar,2,690.3000000000001,2.0,42.47
152,0,8th Phase JP Nagar,3,945.75,3.0,73.31
153,1,8th Phase JP Nagar,2,713.7,2.0,43.91
154,1,8th Phase JP Nagar,3,1170.0,3.0,80.0
156,0,8th Phase JP Nagar,2,702.0,2.0,38.0
157,0,8th Phase JP Nagar,2,688.35,2.0,34.5
158,0,8th Phase JP Nagar,2,702.0,2.0,35.0
159,1,8th Phase JP Nagar,2,690.3000000000001,2.0,42.47
160,0,8th Phase JP Nagar,1,325.0,1.0,31.0
161,0,8th Phase JP Nagar,2,715.0,2.0,35.0
163,1,8th Phase JP Nagar,2,672.75,2.0,39.33
164,0,8th Phase JP Nagar,3,930.475,3.0,72.02
165,1,8th Phase JP Nagar,3,1330.0,4.0,90.0
166,0,8th Phase JP Nagar,1,325.0,1.0,30.0
167,0,8th Phase JP Nagar,2,731.25,2.0,36.94
168,1,8th Phase JP Nagar,2,715.0,2.0,35.0
169,1,8th Phase JP Nagar,2,707.85,2.0,43.55
170,1,8th Phase JP Nagar,3,1043.25,2.0,65.0
171,1,8th Phase JP Nagar,3,977.6,2.0,83.0
173,1,8th Phase JP Nagar,2,707.85,2.0,43.55
174,1,8th Phase JP Nagar,2,983.45,2.0,62.0
175,1,8th Phase JP Nagar,2,908.5999999999999,2.0,59.0
176,1,8th Phase JP Nagar,2,704.1999999999999,2.0,44.0
177,0,8th Phase JP Nagar,1,500.0,1.0,33.0
178,0,8th Phase JP Nagar,2,809.25,2.0,59.0
179,1,8th Phase JP Nagar,2,981.5,2.0,80.0
180,1,8th Phase JP Nagar,3,2145.0,3.0,165.0
181,0,8th Phase JP Nagar,2,679.9,2.0,48.0
182,0,8th Phase JP Nagar,3,915.2,3.0,80.0
184,1,9th Phase JP Nagar,2,653.25,2.0,50.0
186,1,9th Phase JP Nagar,2,724.5,2.0,45.0
188,1,9th Phase JP Nagar,2,814.8,2.0,56.0
189,1,9th Phase JP Nagar,2,653.25,2.0,42.0
190,0,9th Phase JP Nagar,2,732.5500000000001,2.0,50.0
191,1,9th Phase JP Nagar,2,653.25,2.0,43.0
192,0,9th Phase JP Nagar,2,952.9,2.0,71.0
194,0,9th Phase JP Nagar,2,701.35,2.0,60.0
195,0,9th Phase JP Nagar,2,962.0,2.0,80.0
196,0,9th Phase JP Nagar,2,697.45,2.0,52.36
197,1,9th Phase JP Nagar,3,1117.545,2.0,88.0
198,0,9th Phase JP Nagar,3,1157.0,3.0,88.0
202,1,9th Phase JP Nagar,2,623.0,2.0,45.0
204,1,9th Phase JP Nagar,2,865.7675,2.0,69.0
205,1,AECS Layout,2,715.0,2.0,45.0
206,1,AECS Layout,2,668.2,2.0,42.0
207,1,AECS Layout,2,779.35,2.0,65.0
208,1,AECS Layout,2,702.0,2.0,55.0
209,1,AECS Layout,2,850.2,2.0,60.0
210,1,AECS Layout,2,653.25,2.0,55.0
212,1,Abbigere,2,640.25,2.0,40.39
213,1,Abbigere,1,497.25,2.0,30.0
214,1,Abbigere,2,653.25,2.0,39.59
215,1,Abbigere,2,663.0,2.0,41.82
216,1,Abbigere,2,640.25,2.0,40.39
217,1,Abbigere,2,734.5,2.0,46.33
218,1,Abbigere,2,640.25,2.0,38.92
219,1,Abbigere,2,650.0,2.0,41.0
220,1,Abbigere,2,646.75,2.0,40.8
221,1,Abbigere,2,663.0,2.0,40.8
222,1,Akshaya Nagar,2,902.2,2.0,57.0
223,1,Akshaya Nagar,2,695.5,2.0,54.0
224,1,Akshaya Nagar,2,896.0,2.0,58.0
225,1,Akshaya Nagar,3,1163.3999999999999,3.0,85.1
226,1,Akshaya Nagar,3,1233.05,3.0,120.0
227,1,Akshaya Nagar,3,916.5,2.0,75.0
229,1,Akshaya Nagar,3,916.5,2.0,80.0
230,1,Akshaya Nagar,3,1163.3999999999999,3.0,85.0
231,1,Akshaya Nagar,3,1163.3999999999999,3.0,85.5
232,1,Akshaya Nagar,2,896.0,2.0,60.0
233,1,Akshaya Nagar,3,1166.1999999999998,3.0,95.0
234,1,Akshaya Nagar,3,1023.75,3.0,90.0
235,1,Akshaya Nagar,3,929.5,2.0,75.0
236,1,Akshaya Nagar,3,993.3,2.0,73.0
237,1,Akshaya Nagar,2,832.0,2.0,60.0
238,1,Akshaya Nagar,2,780.0,2.0,50.0
239,0,Akshaya Nagar,2,709.8000000000001,2.0,60.0
240,1,Akshaya Nagar,3,1098.5,3.0,85.0
242,1,Akshaya Nagar,3,1233.05,4.0,93.0
243,1,Akshaya Nagar,3,1224.6000000000001,3.0,98.0
244,1,Akshaya Nagar,2,854.1,2.0,68.8
245,1,Akshaya Nagar,3,1098.5,3.0,85.0
246,1,Akshaya Nagar,2,822.25,2.0,67.0
247,1,Akshaya Nagar,2,731.9,2.0,55.0
249,1,Akshaya Nagar,3,1080.3,3.0,90.0
250,1,Akshaya Nagar,3,923.0,2.0,75.0
251,1,Akshaya Nagar,3,917.8000000000001,2.0,88.0
252,1,Akshaya Nagar,3,1003.8,3.0,84.0
253,1,Akshaya Nagar,3,1228.5,4.0,100.0
255,1,Akshaya Nagar,3,922.35,2.0,87.0
256,1,Akshaya Nagar,2,845.0,2.0,54.0
257,1,Akshaya Nagar,3,1098.5,3.0,85.0
258,1,Akshaya Nagar,2,723.45,2.0,52.0
259,1,Akshaya Nagar,3,1183.0,4.0,95.0
260,1,Akshaya Nagar,2,715.0,2.0,48.0
261,1,Akshaya Nagar,3,1232.4,3.0,102.0
262,1,Akshaya Nagar,2,845.0,2.0,66.0
263,1,Akshaya Nagar,2,796.25,2.0,68.0
264,1,Akshaya Nagar,2,766.35,2.0,51.0
265,1,Akshaya Nagar,3,923.65,2.0,73.0
266,1,Akshaya Nagar,3,1230.45,4.0,95.0
267,1,Akshaya Nagar,2,630.0,2.0,45.0
268,1,Ambalipura,2,718.25,2.0,75.0
269,1,Ambalipura,3,1170.0,3.0,110.0
270,1,Ambalipura,2,805.0,2.0,80.0
271,1,Ambalipura,2,812.5,2.0,66.25
272,1,Ambalipura,2,865.8000000000001,2.0,79.0
273,1,Ambalipura,3,1124.5,3.0,120.0
275,1,Ambalipura,2,799.5,2.0,66.25
276,1,Ambalipura,2,878.15,2.0,77.0
280,1,Ambalipura,2,846.95,2.0,80.0
281,1,Ambalipura,3,1044.55,2.0,112.0
282,1,Ambalipura,1,500.5,1.0,43.82
283,1,Ambalipura,2,689.0,2.0,58.5
285,1,Ambalipura,3,1044.55,2.0,112.0
286,1,Ambalipura,2,778.7,2.0,80.0
287,1,Ambedkar Nagar,3,1257.75,4.0,130.0
288,1,Ambedkar Nagar,2,925.6,2.0,90.0
289,1,Ambedkar Nagar,3,1446.25,4.0,169.0
290,1,Ambedkar Nagar,3,1210.3,3.0,120.0
291,1,Ambedkar Nagar,3,1202.5,4.0,139.0
292,1,Ambedkar Nagar,3,1258.4,4.0,126.0
293,1,Ambedkar Nagar,3,1210.3,3.0,119.0
294,1,Ambedkar Nagar,2,925.6,2.0,90.0
295,1,Ambedkar Nagar,3,1397.5,4.0,125.0
297,1,Ambedkar Nagar,3,1206.4,3.0,120.0
298,1,Ambedkar Nagar,3,1203.8,3.0,130.0
299,1,Ambedkar Nagar,3,1202.5,4.0,120.0
300,1,Ambedkar Nagar,2,888.5500000000001,2.0,86.0
302,1,Ambedkar Nagar,2,915.85,2.0,95.0
303,1,Ambedkar Nagar,3,1267.5,4.0,120.0
304,1,Ambedkar Nagar,3,1248.65,4.0,129.0
305,1,Ambedkar Nagar,3,1248.0,4.0,121.0
306,1,Ambedkar Nagar,3,1257.75,4.0,125.0
307,1,Ambedkar Nagar,3,1203.8,4.0,122.0
308,1,Ambedkar Nagar,3,1267.5,4.0,120.0
309,1,Ambedkar Nagar,3,1203.8,3.0,125.0
310,1,Ambedkar Nagar,3,1202.5,4.0,121.0
311,1,Ambedkar Nagar,2,926.25,2.0,94.0
312,1,Ambedkar Nagar,3,1676.5,4.0,150.0
313,1,Amruthahalli,2,780.0,2.0,55.0
314,1,Amruthahalli,3,1330.0,3.0,135.0
315,1,Amruthahalli,2,646.8,2.0,45.0
316,1,Amruthahalli,2,900.0,2.0,60.0
317,1,Amruthahalli,2,770.0,2.0,45.0
318,1,Amruthahalli,2,780.0,2.0,55.0
321,1,Amruthahalli,3,942.5,2.0,85.0
322,1,Amruthahalli,2,780.0,2.0,55.0
323,1,Amruthahalli,2,812.5,2.0,79.0
324,1,Amruthahalli,2,773.5,2.0,50.0
325,1,Amruthahalli,2,781.3000000000001,2.0,65.0
326,1,Amruthahalli,2,871.0,2.0,75.0
327,1,Amruthahalli,3,1722.5,4.0,175.0
328,1,Amruthahalli,3,1014.9999999999999,2.0,90.0
329,1,Amruthahalli,2,666.25,2.0,42.0
330,1,Amruthahalli,1,339.5,1.0,19.5
331,0,Anandapura,2,758.5500000000001,2.0,43.76
332,0,Anandapura,2,741.65,2.0,42.79
334,1,Anandapura,2,720.0,2.0,58.0
335,1,Anandapura,2,748.15,2.0,43.1
336,1,Anandapura,2,741.65,2.0,42.75
337,1,Anandapura,2,748.15,2.0,42.9
339,0,Anandapura,2,748.15,2.0,43.16
340,1,Anandapura,2,840.0,2.0,58.0
341,1,Anandapura,2,780.0,2.0,50.0
342,1,Anandapura,2,741.65,2.0,50.0
344,0,Ananth Nagar,1,325.0,1.0,14.0
345,1,Ananth Nagar,2,715.0,2.0,31.5
346,0,Ananth Nagar,2,638.3000000000001,2.0,24.55
347,0,Ananth Nagar,1,325.0,2.0,14.0
348,1,Ananth Nagar,2,609.0500000000001,2.0,35.0
349,1,Ananth Nagar,2,672.0,2.0,37.0
350,0,Ananth Nagar,1,325.0,1.0,14.0
351,0,Ananth Nagar,2,650.0,2.0,29.7
352,1,Ananth Nagar,3,1029.0,3.0,54.0
353,0,Ananth Nagar,2,780.0,2.0,36.0
354,0,Ananth Nagar,2,650.0,2.0,25.0
355,1,Ananth Nagar,2,604.5,2.0,25.99
356,0,Ananth Nagar,2,698.1,2.0,26.85
357,0,Ananth Nagar,1,325.0,1.0,14.0
358,1,Ananth Nagar,2,656.5,2.0,38.0
359,0,Ananth Nagar,2,644.8000000000001,2.0,24.8
360,0,Anekal,2,720.0,1.0,36.0
361,1,Anekal,1,390.0,1.0,16.5
362,1,Anekal,2,601.25,2.0,40.0
363,0,Anekal,1,344.5,1.0,18.0
364,1,Anekal,3,1080.0,3.0,68.0
365,0,Anekal,2,720.0,1.0,36.0
366,1,Anekal,2,672.75,2.0,38.3
367,0,Anekal,2,720.0,2.0,36.1
368,0,Anekal,2,720.0,1.0,36.0
369,0,Anekal,2,720.0,1.0,36.0
370,0,Anekal,2,720.0,1.0,36.0
371,0,Anekal,2,720.0,1.0,36.0
372,0,Anekal,2,720.0,1.0,36.0
373,1,Anekal,3,1440.0,4.0,95.0
374,0,Anekal,2,720.0,2.0,36.1
375,0,Anekal,2,720.0,2.0,36.1
376,0,Anekal,2,741.0,2.0,52.0
377,1,Anjanapura,4,1295.0,4.0,86.0
378,0,Anjanapura,2,695.5,2.0,39.0
379,0,Anjanapura,2,695.5,2.0,37.0
380,1,Anjanapura,2,617.5,2.0,40.0
381,1,Anjanapura,2,665.0,2.0,32.0
382,1,Anjanapura,3,1197.95,3.0,87.54
383,0,Anjanapura,2,699.4,2.0,30.13
384,1,Anjanapura,2,665.0,2.0,30.0
385,1,Ardendale,3,1137.5,3.0,100.0
386,1,Ardendale,4,2238.6,4.0,200.0
387,1,Ardendale,4,1574.3,4.0,160.0
388,1,Ardendale,3,1137.5,3.0,100.0
390,1,Ardendale,3,1123.2,3.0,95.0
391,1,Ardendale,4,1340.3,3.0,140.0
392,1,Ardendale,3,1126.0990000000002,3.0,92.0
393,1,Ardendale,4,1340.3,3.0,150.0
395,1,Ardendale,2,795.6,2.0,70.0
396,1,Ardendale,3,1155.219,3.0,105.0
397,1,Ardendale,3,1072.5,3.0,82.0
398,1,Ardendale,4,1340.3,3.0,140.0
399,1,Ardendale,3,1155.0,3.0,82.0
400,1,Ardendale,2,795.6,2.0,67.0
401,1,Ardendale,3,1119.95,3.0,95.0
402,1,Ardendale,3,1155.219,3.0,89.0
403,1,Ardendale,3,1155.219,3.0,92.0
404,1,Arekere,3,1339.0,3.0,140.0
405,1,Arekere,2,644.0,2.0,40.0
406,1,Arekere,3,1218.0,2.0,95.0
407,1,Arekere,2,833.0,2.0,55.0
408,1,Arekere,1,420.0,1.0,28.0
409,0,Arekere,3,1346.8,3.0,108.0
410,1,Arekere,2,715.0,2.0,55.0
411,1,Arekere,2,806.0,2.0,60.0
412,1,Attibele,1,325.0,1.0,17.0
413,1,Attibele,4,1300.8,4.0,95.0
415,1,Attibele,2,840.0,2.0,42.0
416,1,Attibele,3,1680.0,3.0,120.0
417,1,Attibele,1,315.0,1.0,12.5
420,1,Attibele,1,508.3,1.0,19.55
422,1,Attibele,1,460.0,1.0,13.0
423,0,Attibele,2,600.0,2.0,42.0
424,1,Attibele,1,357.5,1.0,11.5
426,1,Attibele,3,1020.0,3.0,65.0
427,1,Attibele,1,364.0,1.0,15.0
428,1,BEML Layout,2,689.0,2.0,55.0
429,1,BEML Layout,3,1300.0,3.0,85.0
430,1,BEML Layout,2,699.3,2.0,45.0
431,1,BEML Layout,3,1300.0,2.0,85.0
432,1,BEML Layout,2,776.1,2.0,65.0
433,1,BEML Layout,2,780.0,2.0,67.0
434,1,BEML Layout,3,1300.0,3.0,85.0
435,1,BEML Layout,3,1300.0,3.0,85.0
436,1,BEML Layout,2,776.1,2.0,65.0
437,1,BTM 2nd Stage,3,1295.0,3.0,170.0
438,1,BTM 2nd Stage,2,780.0,2.0,80.0
439,1,BTM 2nd Stage,2,828.1,2.0,70.0
440,1,BTM 2nd Stage,2,695.5,2.0,48.0
441,1,BTM 2nd Stage,2,896.0,2.0,80.0
442,1,BTM 2nd Stage,2,770.0,2.0,70.0
443,1,BTM 2nd Stage,2,650.0,2.0,58.0
444,1,BTM 2nd Stage,2,822.25,2.0,55.0
446,1,BTM 2nd Stage,2,627.25,2.0,56.0
447,1,BTM 2nd Stage,2,745.5500000000001,2.0,75.0
448,1,BTM 2nd Stage,3,1225.0,3.0,172.0
449,1,BTM 2nd Stage,2,910.0,2.0,90.0
450,1,BTM 2nd Stage,2,780.0,2.0,70.0
451,1,BTM 2nd Stage,2,715.0,2.0,47.0
452,1,BTM 2nd Stage,2,604.5,2.0,46.0
453,1,BTM Layout,2,747.5,2.0,63.0
454,1,BTM Layout,3,1014.9999999999999,2.0,81.0
455,1,BTM Layout,3,947.7,3.0,79.0
456,1,BTM Layout,2,654.5,2.0,51.5
457,1,BTM Layout,2,663.0,2.0,46.5
458,1,BTM Layout,3,1040.0,3.0,112.0
459,1,BTM Layout,3,909.9999999999999,2.0,75.0
460,1,BTM Layout,3,1078.0,2.0,78.0
461,1,BTM Layout,2,777.4,2.0,56.81
462,1,BTM Layout,3,955.5,2.0,99.0
463,1,Babusapalaya,3,1047.15,2.0,66.0
464,1,Babusapalaya,3,1088.75,3.0,75.0
465,1,Babusapalaya,2,741.65,2.0,46.0
466,1,Babusapalaya,2,704.6,2.0,58.0
467,1,Babusapalaya,2,1050.0,2.0,57.0
468,1,Babusapalaya,2,682.5,2.0,45.0
469,1,Babusapalaya,2,741.65,2.0,45.9
470,1,Babusapalaya,2,773.5,2.0,40.0
471,1,Babusapalaya,3,916.5,2.0,65.0
472,1,Babusapalaya,2,913.4999999999999,2.0,70.0
473,1,Babusapalaya,2,942.5,2.0,55.99
474,1,Babusapalaya,2,715.0,2.0,38.0
475,1,Babusapalaya,2,689.65,2.0,33.84
476,0,Babusapalaya,2,689.65,2.0,38.95
477,1,Babusapalaya,2,689.65,2.0,34.0
478,1,Babusapalaya,2,809.25,2.0,58.0
479,0,Badavala Nagar,3,971.1,2.0,94.55
480,0,Badavala Nagar,2,828.1,2.0,81.0
481,0,Badavala Nagar,3,1197.3,3.0,115.0
482,1,Badavala Nagar,3,971.1,2.0,94.55
483,0,Badavala Nagar,2,828.1,2.0,81.0
484,0,Badavala Nagar,3,971.1,2.0,94.55
485,0,Badavala Nagar,3,1197.3,3.0,115.0
486,0,Badavala Nagar,3,1197.3,3.0,115.0
487,0,Badavala Nagar,3,1197.3,3.0,115.0
488,1,Balagere,2,786.5,2.0,80.9
489,1,Balagere,2,786.5,2.0,72.0
490,1,Balagere,2,783.25,2.0,78.5
491,0,Balagere,1,513.825,1.0,41.9
494,1,Balagere,2,708.4,2.0,75.0
495,0,Balagere,2,663.0455000000001,2.0,68.38
496,0,Balagere,2,783.5555,2.0,81.0
497,0,Balagere,2,654.5500000000001,2.0,65.0
498,0,Balagere,2,783.25,2.0,70.0
499,0,Balagere,2,786.5,2.0,74.0
500,1,Balagere,2,786.5,2.0,83.0
501,0,Balagere,1,472.49999999999994,1.0,45.0
502,1,Balagere,1,426.40000000000003,1.0,43.0
504,0,Balagere,2,657.8000000000001,2.0,64.0
505,1,Balagere,2,654.5500000000001,2.0,62.0
506,1,Balagere,2,704.9,2.0,67.0
507,1,Balagere,2,654.5500000000001,2.0,66.0
510,0,Balagere,1,419.25,1.0,34.18
513,0,Balagere,1,513.825,1.0,42.295
514,0,Balagere,2,657.8000000000001,2.0,65.0
515,0,Balagere,1,426.40000000000003,1.0,38.77
516,0,Balagere,1,419.25,1.0,39.0
517,0,Balagere,1,451.49999999999994,1.0,41.0
518,0,Balagere,2,786.5,2.0,82.0
519,0,Balagere,1,426.40000000000003,1.0,34.77
520,0,Balagere,2,783.25,2.0,73.87
521,0,Balagere,2,657.8000000000001,2.0,70.0
522,0,Balagere,2,654.5500000000001,2.0,68.0
524,1,Balagere,2,783.25,2.0,79.0
525,1,Balagere,2,708.4,2.0,68.0
526,1,Banashankari,2,700.0500000000001,2.0,37.64
527,0,Banashankari,3,955.5,2.0,88.64
528,1,Banashankari,3,909.9999999999999,2.0,75.0
529,1,Banashankari,3,1170.0,3.0,115.0
530,1,Banashankari,2,787.5,2.0,63.0
531,0,Banashankari,2,851.5,2.0,80.0
532,0,Banashankari,3,1690.0,4.0,135.0
533,1,Banashankari,3,1235.0,2.0,170.0
534,1,Banashankari,2,819.0,2.0,75.0
535,1,Banashankari,2,760.5,2.0,46.79
537,1,Banashankari,3,944.9999999999999,2.0,83.0
539,1,Banashankari,2,864.5,2.0,78.0
540,1,Banashankari,3,910.0,2.0,78.0
541,1,Banashankari,3,1105.0,3.0,125.0
542,1,Banashankari,2,663.0,2.0,40.79
543,1,Banashankari,2,1040.0,2.0,63.98
544,1,Banashankari,2,676.65,2.0,36.44
545,1,Banashankari,1,1560.0,1.0,200.0
546,1,Banashankari,2,903.5,2.0,86.0
547,1,Banashankari,2,949.0,2.0,70.0
548,1,Banashankari,2,780.0,2.0,60.0
549,1,Banashankari,2,838.5,2.0,80.0
550,1,Banashankari,2,830.1999999999999,2.0,65.0
551,1,Banashankari,3,1072.5,3.0,101.0
553,1,Banashankari,2,767.65,2.0,75.0
554,1,Banashankari,2,718.25,2.0,90.0
555,1,Banashankari,1,468.0,1.0,60.0
556,1,Banashankari,2,676.0,2.0,45.0
557,1,Banashankari,2,864.5,2.0,77.0
558,1,Banashankari,2,780.0,2.0,49.0
559,1,Banashankari,2,770.25,2.0,67.0
560,0,Banashankari,2,650.0,2.0,50.0
561,0,Banashankari,3,1072.5,3.0,90.75
562,0,Banashankari,3,1072.5,3.0,101.0
563,1,Banashankari,2,851.5,2.0,80.43
564,0,Banashankari,2,929.5,2.0,87.8
565,1,Banashankari,2,663.0,2.0,42.83
567,1,Banashankari,2,776.75,2.0,35.84
568,1,Banashankari,3,1093.95,3.0,115.0
569,1,Banashankari,3,1260.0,3.0,125.0
